ID,County,State,Median Price
MD - Prince George's County,Prince George's County,MD,416500
NC - Mecklenburg County,Mecklenburg County,NC,416200
NH - Hillsborough County,Hillsborough County,NH,415860
CA - Humboldt County,Humboldt County,CA,415680
CA - Madera County,Madera County,CA,414860
MA - Worcester County,Worcester County,MA,414780
TN - Sumner County,Sumner County,TN,413290
NC - Buncombe County,Buncombe County,NC,413050
WA - Spokane County,Spokane County,WA,412600
VA - Charlottesville city,Charlottesville city,VA,412040
OR - Lane County,Lane County,OR,411940
MD - St. Mary's County,St. Mary's County,MD,411860
VA - York County,York County,VA,411510
CA - Yuba County,Yuba County,CA,411470
FL - Manatee County,Manatee County,FL,410980
MD - Queen Anne's County,Queen Anne's County,MD,410860
AK - Juneau City and Borough,Juneau City and Borough,AK,410450
WA - Cowlitz County,Cowlitz County,WA,410300
NY - Dutchess County,Dutchess County,NY,409300
TX - Parker County,Parker County,TX,409210
FL - Seminole County,Seminole County,FL,408850
MD - Charles County,Charles County,MD,407920
PA - Montgomery County,Montgomery County,PA,407340
CO - Hinsdale County,Hinsdale County,CO,405910
WA - Benton County,Benton County,WA,404850
VA - Poquoson city,Poquoson city,VA,404850
TX - Hays County,Hays County,TX,404820
WA - Skamania County,Skamania County,WA,404150
GA - Oconee County,Oconee County,GA,403930
CA - Sutter County,Sutter County,CA,403160
OR - Marion County,Marion County,OR,402390
OR - Jackson County,Jackson County,OR,400990
UT - Grand County,Grand County,UT,400650
MN - Scott County,Scott County,MN,399730
FL - Orange County,Orange County,FL,399630
VA - Hanover County,Hanover County,VA,399080
NC - New Hanover County,New Hanover County,NC,399030
FL - Sumter County,Sumter County,FL,398790
NC - Durham County,Durham County,NC,397550
IN - Hamilton County,Hamilton County,IN,397420
CA - Butte County,Butte County,CA,397160
NC - Dare County,Dare County,NC,396470
MT - Park County,Park County,MT,396400
FL - Nassau County,Nassau County,FL,396210
CO - San Juan County,San Juan County,CO,395600
OR - Clatsop County,Clatsop County,OR,395350
IL - DuPage County,DuPage County,IL,394980
WI - Waukesha County,Waukesha County,WI,393830
CA - Calaveras County,Calaveras County,CA,393590
WI - Dane County,Dane County,WI,393460
CA - Merced County,Merced County,CA,393450
ID - Canyon County,Canyon County,ID,393270
VA - Manassas city,Manassas city,VA,391980
VA - Frederick County,Frederick County,VA,391430
ME - York County,York County,ME,391240
WA - Lewis County,Lewis County,WA,391060
MD - Talbot County,Talbot County,MD,389670
IN - Boone County,Boone County,IN,389390
KS - Johnson County,Johnson County,KS,388680
WI - Ozaukee County,Ozaukee County,WI,388680
TX - Gillespie County,Gillespie County,TX,388630
ID - Bonneville County,Bonneville County,ID,388070
CA - Amador County,Amador County,CA,387930
CA - Fresno County,Fresno County,CA,386370
KY - Oldham County,Oldham County,KY,385990
NM - Los Alamos County,Los Alamos County,NM,385950
MT - Madison County,Madison County,MT,385930
VA - Spotsylvania County,Spotsylvania County,VA,384390
TN - Rutherford County,Rutherford County,TN,384320
MI - Washtenaw County,Washtenaw County,MI,384260
FL - Hillsborough County,Hillsborough County,FL,384150
MN - Hennepin County,Hennepin County,MN,383180
OR - Linn County,Linn County,OR,381660
VA - Culpeper County,Culpeper County,VA,381500
MT - Lewis and Clark County,Lewis and Clark County,MT,381360
CO - Mesa County,Mesa County,CO,380730
VA - King George County,King George County,VA,380690
MT - Ravalli County,Ravalli County,MT,380640
AK - Anchorage Municipality,Anchorage Municipality,AK,379700
TN - Maury County,Maury County,TN,378970
NY - Orange County,Orange County,NY,378560
GA - Gwinnett County,Gwinnett County,GA,377270
WA - Franklin County,Franklin County,WA,376330
CO - Teller County,Teller County,CO,376220
NJ - Ocean County,Ocean County,NJ,374130
FL - Pinellas County,Pinellas County,FL,373910
AK - Aleutians West Census Area,Aleutians West Census Area,AK,372980
ID - Bonner County,Bonner County,ID,372700
AZ - Pinal County,Pinal County,AZ,372390
ID - Twin Falls County,Twin Falls County,ID,371490
FL - Lee County,Lee County,FL,371350
TX - Fort Bend County,Fort Bend County,TX,371350
VA - Williamsburg city,Williamsburg city,VA,370990
VA - Virginia Beach city,Virginia Beach city,VA,370760
CA - Tuolumne County,Tuolumne County,CA,370170
NC - Moore County,Moore County,NC,370080
WA - Klickitat County,Klickitat County,WA,369280
NV - Carson City,Carson City,NV,369180
GA - Jackson County,Jackson County,GA,368090
MD - Harford County,Harford County,MD,366710
RI - Kent County,Kent County,RI,366700
NJ - Mercer County,Mercer County,NJ,366630
GA - DeKalb County,DeKalb County,GA,366100
MT - Jefferson County,Jefferson County,MT,366080
MN - Dakota County,Dakota County,MN,365970
CA - Shasta County,Shasta County,CA,364020
MT - Yellowstone County,Yellowstone County,MT,363130
VA - Manassas Park city,Manassas Park city,VA,363060
RI - Providence County,Providence County,RI,362690
VA - Chesapeake city,Chesapeake city,VA,361850
NC - Henderson County,Henderson County,NC,361250
NY - Ulster County,Ulster County,NY,361240
VA - Richmond city,Richmond city,VA,361190
AK - Ketchikan Gateway Borough,Ketchikan Gateway Borough,AK,361170
WY - Sublette County,Sublette County,WY,361120
GA - Coweta County,Coweta County,GA,360940
FL - Okaloosa County,Okaloosa County,FL,359930
NH - Merrimack County,Merrimack County,NH,359830
VT - Grand Isle County,Grand Isle County,VT,359520
OR - Tillamook County,Tillamook County,OR,358570
OR - Curry County,Curry County,OR,358330
VA - Powhatan County,Powhatan County,VA,358290
MI - Leelanau County,Leelanau County,MI,358260
VA - New Kent County,New Kent County,VA,358060
VA - Chesterfield County,Chesterfield County,VA,357360
MT - Carbon County,Carbon County,MT,357250
AK - Kodiak Island Borough,Kodiak Island Borough,AK,356480
MN - Sherburne County,Sherburne County,MN,356210
NH - Strafford County,Strafford County,NH,355630
FL - Osceola County,Osceola County,FL,355500
FL - Indian River County,Indian River County,FL,354780
NC - Cabarrus County,Cabarrus County,NC,353980
SC - York County,York County,SC,353730
CT - Middlesex County,Middlesex County,CT,352490
NC - Brunswick County,Brunswick County,NC,351830
MI - Livingston County,Livingston County,MI,351120
NJ - Warren County,Warren County,NJ,349770
NJ - Sussex County,Sussex County,NJ,348880
FL - Charlotte County,Charlotte County,FL,348270
MT - Lake County,Lake County,MT,348040
GA - Hall County,Hall County,GA,347590
WA - Douglas County,Douglas County,WA,346820
OR - Columbia County,Columbia County,OR,345010
MD - Baltimore County,Baltimore County,MD,344630
FL - St. Lucie County,St. Lucie County,FL,344390
OR - Crook County,Crook County,OR,344060
TX - Blanco County,Blanco County,TX,343390
VA - Henrico County,Henrico County,VA,342880
TX - Montgomery County,Montgomery County,TX,342130
ND - McKenzie County,McKenzie County,ND,341900
TX - Ellis County,Ellis County,TX,341830
FL - Brevard County,Brevard County,FL,341280
VA - Suffolk city,Suffolk city,VA,341080
WY - Laramie County,Laramie County,WY,340670
TN - Robertson County,Robertson County,TN,340560
WY - Park County,Park County,WY,339070
SD - Lincoln County,Lincoln County,SD,339060
MI - Grand Traverse County,Grand Traverse County,MI,338410
WI - St. Croix County,St. Croix County,WI,338230
WY - Sheridan County,Sheridan County,WY,338140
GA - Walton County,Walton County,GA,337100
IL - Lake County,Lake County,IL,336440
MI - Oakland County,Oakland County,MI,336310
FL - Santa Rosa County,Santa Rosa County,FL,336170
MN - Wright County,Wright County,MN,335930
CA - Mariposa County,Mariposa County,CA,335870
SC - Berkeley County,Berkeley County,SC,334180
CA - Trinity County,Trinity County,CA,333870
FL - Clay County,Clay County,FL,333790
CT - Litchfield County,Litchfield County,CT,333750
CA - Colusa County,Colusa County,CA,333540
VA - Isle of Wight County,Isle of Wight County,VA,333520
OR - Lincoln County,Lincoln County,OR,333270
MD - Cecil County,Cecil County,MD,333030
SC - Dorchester County,Dorchester County,SC,332830
MT - Stillwater County,Stillwater County,MT,332640
SC - Lancaster County,Lancaster County,SC,332610
MO - Platte County,Platte County,MO,331710
WI - Washington County,Washington County,WI,331200
DE - New Castle County,New Castle County,DE,331180
WY - Lincoln County,Lincoln County,WY,331130
OR - Wallowa County,Wallowa County,OR,330720
UT - Juab County,Juab County,UT,330700
CA - Kern County,Kern County,CA,330000
TX - Tarrant County,Tarrant County,TX,329900
CT - New London County,New London County,CT,329200
OH - Warren County,Warren County,OH,329180
VT - Addison County,Addison County,VT,328580
NC - Carteret County,Carteret County,NC,328500
VA - Northumberland County,Northumberland County,VA,328490
WA - Walla Walla County,Walla Walla County,WA,328110
GA - Dawson County,Dawson County,GA,326780
TX - Kaufman County,Kaufman County,TX,326710
AL - Shelby County,Shelby County,AL,326080
NY - Saratoga County,Saratoga County,NY,325940
CA - Lake County,Lake County,CA,325880
WA - Grant County,Grant County,WA,325030
MN - Anoka County,Anoka County,MN,324410
VA - Madison County,Madison County,VA,323960
IL - Cook County,Cook County,IL,323470
CA - Inyo County,Inyo County,CA,323440
MD - Worcester County,Worcester County,MD,322650
FL - Lake County,Lake County,FL,322590
CT - Tolland County,Tolland County,CT,322090
CA - Tulare County,Tulare County,CA,322030
IA - Dallas County,Dallas County,IA,321880
CO - Delta County,Delta County,CO,321760
DE - Kent County,Kent County,DE,321620
CA - Kings County,Kings County,CA,321360
VA - Bedford County,Bedford County,VA,321260
NH - Carroll County,Carroll County,NH,321000
WA - Grays Harbor County,Grays Harbor County,WA,320770
IA - Johnson County,Johnson County,IA,320540
TX - Brazos County,Brazos County,TX,319890
VA - Mathews County,Mathews County,VA,319750
MN - Ramsey County,Ramsey County,MN,319700
MN - Olmsted County,Olmsted County,MN,319650
MT - Broadwater County,Broadwater County,MT,319650
TN - Knox County,Knox County,TN,319440
CT - New Haven County,New Haven County,CT,319110
GA - Paulding County,Paulding County,GA,318550
NJ - Burlington County,Burlington County,NJ,318190
GA - Columbia County,Columbia County,GA,318190
CO - Montrose County,Montrose County,CO,317560
MT - Sanders County,Sanders County,MT,317000
ID - Boundary County,Boundary County,ID,316480
VA - Orange County,Orange County,VA,316400
VA - Winchester city,Winchester city,VA,316400
VA - Rockingham County,Rockingham County,VA,316310
AK - Matanuska-Susitna Borough,Matanuska-Susitna Borough,AK,315980
NM - Taos County,Taos County,NM,315750
AZ - Pima County,Pima County,AZ,315610
IL - Kane County,Kane County,IL,315570
ID - Latah County,Latah County,ID,315510
NC - Iredell County,Iredell County,NC,315470
CO - Lake County,Lake County,CO,315040
TX - Galveston County,Galveston County,TX,315000
CO - Custer County,Custer County,CO,314920
ID - Madison County,Madison County,ID,314420
NC - Lincoln County,Lincoln County,NC,314110
FL - Volusia County,Volusia County,FL,312990
MO - St. Charles County,St. Charles County,MO,312670
IN - Hendricks County,Hendricks County,IN,312600
NC - Currituck County,Currituck County,NC,311960
NH - Grafton County,Grafton County,NH,311920
NC - Johnston County,Johnston County,NC,311730
PA - Delaware County,Delaware County,PA,311320
LA - Orleans Parish,Orleans Parish,LA,310980
OH - Geauga County,Geauga County,OH,310830
VA - Augusta County,Augusta County,VA,310830
MN - Rice County,Rice County,MN,310560
OR - Jefferson County,Jefferson County,OR,310180
IL - Kendall County,Kendall County,IL,310160
FL - Duval County,Duval County,FL,310060
WA - Pend Oreille County,Pend Oreille County,WA,309890
TN - Hamilton County,Hamilton County,TN,309020
NC - Transylvania County,Transylvania County,NC,308640
MD - Kent County,Kent County,MD,308430
VA - Middlesex County,Middlesex County,VA,308270
ID - Boise County,Boise County,ID,308210
AL - Madison County,Madison County,AL,307890
NC - Watauga County,Watauga County,NC,307780
CT - Hartford County,Hartford County,CT,307170
TX - Dallas County,Dallas County,TX,307160
IL - Will County,Will County,IL,307120
GA - Henry County,Henry County,GA,307000
FL - Bay County,Bay County,FL,306820
TX - Midland County,Midland County,TX,305470
AR - Benton County,Benton County,AR,305380
SC - Greenville County,Greenville County,SC,305280
GA - Bryan County,Bryan County,GA,304550
SD - Pennington County,Pennington County,SD,304360
WV - Jefferson County,Jefferson County,WV,304240
ID - Bannock County,Bannock County,ID,303660
GA - Greene County,Greene County,GA,303260
CA - Tehama County,Tehama County,CA,302680
TX - Wise County,Wise County,TX,302610
AL - Baldwin County,Baldwin County,AL,302110
VA - Montgomery County,Montgomery County,VA,301950
UT - Wayne County,Wayne County,UT,301410
FL - Pasco County,Pasco County,FL,300970
NJ - Atlantic County,Atlantic County,NJ,300690
NV - Lyon County,Lyon County,NV,300690
MN - Cook County,Cook County,MN,300120
PA - Northampton County,Northampton County,PA,299750
MT - Beaverhead County,Beaverhead County,MT,299560
SD - Custer County,Custer County,SD,299320
NH - Belknap County,Belknap County,NH,299290
ND - Burleigh County,Burleigh County,ND,299120
TN - Blount County,Blount County,TN,299030
NM - Bernalillo County,Bernalillo County,NM,298750
WY - Crook County,Crook County,WY,298700
MT - Granite County,Granite County,MT,298590
AZ - Mohave County,Mohave County,AZ,298510
CA - Plumas County,Plumas County,CA,298470
GA - Douglas County,Douglas County,GA,298400
WY - Johnson County,Johnson County,WY,298110
UT - Box Elder County,Box Elder County,UT,298080
MS - Madison County,Madison County,MS,298060
VA - Greene County,Greene County,VA,297850
TX - Brazoria County,Brazoria County,TX,297540
FL - Alachua County,Alachua County,FL,296920
OH - Fairfield County,Fairfield County,OH,296720
TN - Loudon County,Loudon County,TN,296290
VA - Roanoke County,Roanoke County,VA,295790
GA - Chatham County,Chatham County,GA,295560
ID - Adams County,Adams County,ID,295360
UT - Iron County,Iron County,UT,295220
TX - Llano County,Llano County,TX,295150
TN - Sevier County,Sevier County,TN,295080
NM - Sandoval County,Sandoval County,NM,295010
PA - Lehigh County,Lehigh County,PA,294750
AR - Washington County,Washington County,AR,294650
OR - Wasco County,Wasco County,OR,294390
SD - Minnehaha County,Minnehaha County,SD,294360
GA - Towns County,Towns County,GA,293940
AK - Haines Borough,Haines Borough,AK,293680
NE - Sarpy County,Sarpy County,NE,293200
OR - Douglas County,Douglas County,OR,293120
MA - Hampden County,Hampden County,MA,293040
PA - Centre County,Centre County,PA,293020
MT - Sweet Grass County,Sweet Grass County,MT,292940
VA - Lexington city,Lexington city,VA,292340
CO - Montezuma County,Montezuma County,CO,291910
NY - Tompkins County,Tompkins County,NY,291730
PA - Lancaster County,Lancaster County,PA,291610
VT - Washington County,Washington County,VT,291530
CA - Glenn County,Glenn County,CA,291470
NJ - Gloucester County,Gloucester County,NJ,291460
TX - Guadalupe County,Guadalupe County,TX,291380
GA - Clarke County,Clarke County,GA,291100
NV - Storey County,Storey County,NV,291090
GA - Morgan County,Morgan County,GA,290680
IL - McHenry County,McHenry County,IL,290650
VT - Lamoille County,Lamoille County,VT,290450
WA - Yakima County,Yakima County,WA,290350
CA - Imperial County,Imperial County,CA,290280
WA - Whitman County,Whitman County,WA,290010
IN - Porter County,Porter County,IN,289970
WI - Walworth County,Walworth County,WI,289550
LA - St. Tammany Parish,St. Tammany Parish,LA,289470
CO - Pueblo County,Pueblo County,CO,289340
NH - Cheshire County,Cheshire County,NH,289140
FL - Leon County,Leon County,FL,288960
MN - Crow Wing County,Crow Wing County,MN,288650
WY - Albany County,Albany County,WY,288310
TX - Bastrop County,Bastrop County,TX,288310
OH - Franklin County,Franklin County,OH,288080
MN - Chisago County,Chisago County,MN,288020
AK - Fairbanks North Star Borough,Fairbanks North Star Borough,AK,287720
SC - Horry County,Horry County,SC,287660
MI - Kent County,Kent County,MI,287520
CO - Morgan County,Morgan County,CO,287470
NY - Columbia County,Columbia County,NY,287280
MN - Douglas County,Douglas County,MN,287270
VA - Warren County,Warren County,VA,287080
GA - Barrow County,Barrow County,GA,286860
UT - Kane County,Kane County,UT,286770
CO - Jackson County,Jackson County,CO,286630
GA - Glynn County,Glynn County,GA,285650
OR - Klamath County,Klamath County,OR,285460
AK - Kenai Peninsula Borough,Kenai Peninsula Borough,AK,285430
WI - Door County,Door County,WI,285420
VA - Botetourt County,Botetourt County,VA,284870
MT - Richland County,Richland County,MT,284760
WI - Jefferson County,Jefferson County,WI,284590
FL - Hernando County,Hernando County,FL,284080
KS - Leavenworth County,Leavenworth County,KS,283830
TX - Mason County,Mason County,TX,283190
KY - Fayette County,Fayette County,KY,283180
GA - Rockdale County,Rockdale County,GA,283170
ID - Jefferson County,Jefferson County,ID,283000
OH - Union County,Union County,OH,282940
GA - Effingham County,Effingham County,GA,282940
NY - Albany County,Albany County,NY,282520
VA - Norfolk city,Norfolk city,VA,282500
VA - Nelson County,Nelson County,VA,282450
NC - Franklin County,Franklin County,NC,281970
MD - Washington County,Washington County,MD,281920
TN - Montgomery County,Montgomery County,TN,281870
ME - Lincoln County,Lincoln County,ME,281430
TX - Chambers County,Chambers County,TX,281360
TX - Waller County,Waller County,TX,281360
NC - Polk County,Polk County,NC,281260
MO - Cass County,Cass County,MO,280600
VA - Lancaster County,Lancaster County,VA,280600
PA - Butler County,Butler County,PA,279340
NC - Camden County,Camden County,NC,279280
OH - Medina County,Medina County,OH,279150
ND - Cass County,Cass County,ND,279090
TN - Washington County,Washington County,TN,278800
IN - Hancock County,Hancock County,IN,278750
OR - Umatilla County,Umatilla County,OR,278730
WA - Asotin County,Asotin County,WA,278660
ID - Franklin County,Franklin County,ID,278550
WA - Stevens County,Stevens County,WA,278530
SD - Lawrence County,Lawrence County,SD,277880
ME - Sagadahoc County,Sagadahoc County,ME,277700
TX - Grayson County,Grayson County,TX,277330
VA - Louisa County,Louisa County,VA,277290
TX - Johnson County,Johnson County,TX,277280
VA - Fluvanna County,Fluvanna County,VA,276540
TX - Wilson County,Wilson County,TX,276320
OR - Coos County,Coos County,OR,276290
VT - Franklin County,Franklin County,VT,275920
ME - Hancock County,Hancock County,ME,275880
TN - Moore County,Moore County,TN,275830
MO - Christian County,Christian County,MO,275620
MO - St. Louis County,St. Louis County,MO,275480
WA - Wahkiakum County,Wahkiakum County,WA,275100
TX - Burnet County,Burnet County,TX,274810
TN - Fayette County,Fayette County,TN,274560
MN - Le Sueur County,Le Sueur County,MN,274540
KY - Spencer County,Spencer County,KY,274220
GA - Bartow County,Bartow County,GA,274080
MS - DeSoto County,DeSoto County,MS,273740
MO - Clay County,Clay County,MO,273470
VA - Gloucester County,Gloucester County,VA,273250
PA - Adams County,Adams County,PA,273010
WI - Brown County,Brown County,WI,272820
GA - Catoosa County,Catoosa County,GA,272730
TN - Cheatham County,Cheatham County,TN,272720
IN - Johnson County,Johnson County,IN,271550
WI - Kenosha County,Kenosha County,WI,271250
IN - Monroe County,Monroe County,IN,270910
WV - Monongalia County,Monongalia County,WV,270750
ME - Knox County,Knox County,ME,270700
TX - Harris County,Harris County,TX,270650
UT - Rich County,Rich County,UT,270470
GA - Pickens County,Pickens County,GA,270390
AL - Limestone County,Limestone County,AL,270280
TN - Putnam County,Putnam County,TN,269920
WI - Eau Claire County,Eau Claire County,WI,269800
MT - Cascade County,Cascade County,MT,269770
PA - Cumberland County,Cumberland County,PA,269700
VT - Windsor County,Windsor County,VT,269600
KS - Douglas County,Douglas County,KS,269290
MN - Clay County,Clay County,MN,269010
TX - Somervell County,Somervell County,TX,268940
WY - Campbell County,Campbell County,WY,268830
